School Name,Town,Religious Denomination,Percentage of pupils with LOW achievement at Key Stage 2,Percentage of pupils with MEDIUM achievement at Key Stage 2,Percentage of pupils with HIGH achievement at Key Stage 2,Percentage of pupils receiving FREE SCHOOL MEALS (i.e. from disadvantaged backgrounds),Percentage of pupils with ENGLISH AS AN ADDITIONAL LANGUAGE
Fernvale Primary School,Leicester,Does not apply,0.00,0.63,0.37,0.19,0.13
Eastfield Primary School,Leicester,Does not apply,0.10,0.63,0.27,0.33,0.07
Fairfield Community Primary School,Wigston,Does not apply,0.07,0.59,0.34,0.31,0.00
The Merton Primary School,Leicester,Does not apply,0.10,0.67,0.22,0.17,0.09
Battling Brook Primary School,Hinckley,Does not apply,0.09,0.54,0.36,0.18,0.02
Thringstone Primary School,Coalville,Does not apply,0.08,0.71,0.21,0.33,0.08
Booth Wood Primary School,Loughborough,Does not apply,0.11,0.57,0.32,0.52,0.24
John Wycliffe Primary School,Lutterworth,Does not apply,0.18,0.46,0.36,0.17,0.12
Ashby Willesley Primary School,Ashby-de-la-Zouch,Does not apply,0.03,0.70,0.27,0.06,0.03
Broomfield Community Primary School,Leicester,Does not apply,0.00,0.66,0.34,0.09,0.00
Outwoods Edge Primary School,Loughborough,Does not apply,0.02,0.64,0.34,0.22,0.03
Badgerbrook Primary School,Leicester,Does not apply,0.07,0.51,0.42,0.10,0.00
Huncote Primary School,Leicester,Does not apply,0.00,0.43,0.57,0.09,0.00
Farndon Fields Primary School,Market Harborough,Does not apply,0.11,0.47,0.42,0.35,0.05
Warren Hills Community Primary School,Coalville,Does not apply,0.22,0.78,0.00,0.59,0.11
Orchard Community Primary School,Derby,Does not apply,0.06,0.56,0.38,0.17,0.08
Ridgeway Primary Academy,Market Harborough,Does not apply,0.00,0.49,0.51,0.07,0.02
Newlands Community Primary School,Leicester,Does not apply,0.12,0.62,0.26,0.40,0.09
Kingsway Primary School,Leicester,Does not apply,0.05,0.51,0.44,0.19,0.29
Sketchley Hill Primary School Burbage,Hinckley,Does not apply,0.05,0.46,0.49,0.15,0.05
Swallowdale Primary School and Community Centre,Melton Mowbray,Does not apply,0.10,0.57,0.33,0.32,0.10
Captains Close Primary School,Melton Mowbray,Does not apply,0.08,0.38,0.54,0.27,0.00
Brookside Primary School,Leicester,Does not apply,0.04,0.61,0.36,0.16,0.26
The Meadow Community Primary School,Wigston,Does not apply,0.13,0.57,0.30,0.22,0.03
Robert Bakewell Primary School,Loughborough,Does not apply,0.13,0.66,0.22,0.35,0.35
Thythorn Field Community Primary School,Wigston,Does not apply,0.10,0.41,0.48,0.13,0.03
Mountfields Lodge School,Loughborough,Does not apply,0.05,0.64,0.31,0.14,0.12
Highgate Community Primary School,Loughborough,Does not apply,0.15,0.56,0.30,0.36,0.04
Ashby Hill Top Primary School,Ashby-de-la-Zouch,Does not apply,0.00,0.56,0.44,0.04,0.02
Glen Hills Primary School,Leicester,Does not apply,0.03,0.52,0.45,0.25,0.03
Sileby Redlands Community Primary School,Loughborough,Does not apply,0.17,0.69,0.15,0.26,0.00
Old Mill Primary School,Leicester,Does not apply,0.09,0.59,0.33,0.14,0.03
Holywell Primary School,Loughborough,Does not apply,0.04,0.47,0.49,0.13,0.20
Brocks Hill Primary School,Leicester,Does not apply,0.02,0.51,0.47,0.11,0.44
Dove Bank Primary School,Nuneaton,Does not apply,0.06,0.61,0.33,0.06,0.00
Langmoor Primary School Oadby,Leicester,Does not apply,0.03,0.68,0.29,0.33,0.12
The Hall School,Leicester,Does not apply,0.00,0.66,0.34,0.10,0.16
Richmond Primary School,Hinckley,Does not apply,0.09,0.71,0.20,0.25,0.02
Water Leys Primary School,Wigston,Does not apply,0.04,0.66,0.30,0.24,0.42
Parkland Primary School South Wigston,Wigston,Does not apply,0.09,0.61,0.30,0.41,0.07
Launde Primary School,Leicester,Does not apply,0.05,0.49,0.46,0.06,0.19
Red Hill Field Primary School,Leicester,Does not apply,0.11,0.68,0.20,0.13,0.04
Broom Leys School,Coalville,Does not apply,0.10,0.59,0.31,0.28,0.09
Highcliffe Primary School and Community Centre,Leicester,Does not apply,0.07,0.50,0.43,0.18,0.11
Riverside Community Primary School Birstall,Leicester,Does not apply,0.14,0.59,0.27,0.16,0.19
Little Hill Primary,Wigston,Does not apply,0.00,0.59,0.41,0.27,0.07
Woodcote Primary School,Ashby-de-la-Zouch,Does not apply,0.00,0.48,0.52,0.28,0.00
Cobden Primary School & Community Centre,Loughborough,Does not apply,0.07,0.63,0.30,0.44,0.58
Ravenhurst Primary School,Leicester,Does not apply,0.10,0.66,0.24,0.20,0.23
Lady Jane Grey Primary School,Leicester,Does not apply,0.13,0.43,0.43,0.07,0.13
The Pastures Primary School,Leicester,Does not apply,0.00,0.60,0.40,0.12,0.02
